1458
dsp_l:  34
prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	4	14699	12551	706507	706542	rand	450	-360281.421353	-0.509958246311	1458
64	7	14664	12577	706507	706556	rand	460	-100617.487368	-0.142419647902	1458
64	7	14550	12560	706507	706592	rand	470	-100501.487368	-0.142278816155	1458
64	7	14363	12407	706507	706522	rand	480	-100603.487368	-0.142402653421	1458
64	9	14552	12533	706507	706641	rand	490	72550.801956	0.102701641872	1458
64	8	14138	12362	706507	706606	rand	500	-13990.8427058	-0.0198054997732	1458
64	467	614638	966	706507	84238	lin	2	40335847.057	478.831964874	1458
64	468	614638	1003	706507	86382	lin	4	40420255.7017	467.924517859	1458
64	468	614638	1072	706507	87792	lin	6	40418845.7017	460.39326706	1458
64	468	614638	1196	706507	88942	lin	8	40417695.7017	454.427556179	1458
64	468	614638	1436	706507	91166	lin	10	40415471.7017	443.31737382	1458
64	468	614638	1846	706507	94437	lin	12	40412200.7017	427.927620548	1458
64	468	614638	2382	706507	98791	lin	14	40407846.7017	409.02356188	1458
64	468	614638	3095	706507	105251	lin	16	40401386.7017	383.857509209	1458
64	468	614638	3932	706507	112894	lin	18	40393743.7017	357.802396068	1458
64	468	614638	4915	706507	122472	lin	20	40384165.7017	329.742028396	1458
64	468	614638	7532	706507	151887	lin	25	40354750.7017	265.689299951	1458
64	468	614638	10557	706507	190201	lin	30	40316436.7017	211.967532777	1458
64	468	614638	13799	706507	238598	lin	35	40268039.7017	168.769393296	1458
64	469	614638	17235	706507	300096	lin	40	40293094.3464	134.267348936	1458
64	470	614638	20737	706507	366210	lin	45	40313532.991	110.083102567	1458
64	470	614638	24305	706507	444340	lin	50	40235402.991	90.5509361998	1458
64	470	614638	28092	706507	531024	lin	55	40148718.991	75.606223054	1458
64	471	614638	31908	706507	628971	lin	60	40137324.6357	63.8142690771	1458
64	445	581403	34157	706507	706527	lin	65	37809424.8745	53.516373449	1458
64	311	400665	31954	706507	706529	lin	70	26211489.4898	37.1066255697	1458
64	256	314845	29842	706507	706685	lin	75	21451027.0334	30.3645368156	1458
64	224	250196	28284	706507	706515	lin	80	18681286.4042	26.441794414	1458
64	185	211622	27221	706507	706557	lin	85	15305732.2624	21.6639499148	1458
64	166	187009	25835	706507	706537	lin	90	13661255.0139	19.3369630648	1458
64	153	170745	24736	706507	706544	lin	95	12536080.6333	17.7445746528	1458
64	141	155614	23739	706507	706510	lin	100	11497462.8973	16.274754264	1458
64	118	126549	22425	706507	706566	lin	110	9506740.07009	13.4566409852	1458
