prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
4	238	156063	97097	2154287	2086096	ortb	290	-2082715.08636	-0.998379310618	2997
4	223	156063	90859	2154287	2077688	rand	110	-2074520.16916	-0.99847530965	2997
64	39	115865	22518	134642	134647	const	8	-134086.98474	-0.99588524105	2997
64	46	146164	21513	134642	134645	lin	10	-133986.546104	-0.995146658526	2997
64	13	15712	6849	134642	134645	mcpc	1	-134438.328247	-0.998628230293	2997
64	45	156063	17732	134642	108726	ortb	20	-108086.751623	-0.994120556476	2997
64	42	123635	19217	134642	134646	rand	18	-134043.368182	-0.995568688219	2997
8	160	138536	72544	1077143	1077152	const	35	-1074863.11688	-0.997889882877	2997
8	164	152572	71270	1077143	1077159	lin	45	-1074812.29481	-0.997837141997	2997
8	115	92625	49753	1077143	1077169	mcpc	1	-1075474.36526	-0.998483313892	2997
8	172	151008	74161	1077143	1077171	ortb	170	-1074698.65065	-0.997731636729	2997
8	149	152371	67243	1077143	1077195	rand	65	-1075024.3776	-0.998034962551	2997
1	130	417197	417197	43497557	43497557	const	300	-43461456.5339	-0.999170057618	2259
1	130	417197	408123	43497557	41799175	lin	500	-41763074.5339	-0.99913633544	2259
1	98	417197	277480	43497557	22677338	mcpc	1	-22650123.8025	-0.998799938622	2259
1	123	417197	382873	43497557	36707405	ortb	1370	-36673248.4052	-0.999069490343	2259
1	94	417197	326242	43497557	28990037	rand	480	-28963933.5861	-0.999099572935	2259
16	16	384171	113333	2718597	2718615	const	50	-2714123.86571	-0.998365633701	2259
16	21	339283	78896	2718597	2718735	lin	25	-2712753.38625	-0.997854908436	2259
16	11	67461	38353	2718597	2718609	mcpc	1	-2715390.34518	-0.998876322743	2259
16	22	417197	98461	2718597	2655861	ortb	80	-2649751.69036	-0.997699687731	2259
16	17	382706	97128	2718597	2718628	rand	85	-2713837.16982	-0.998263480059	2259
2	72	343939	284521	21748778	21748905	const	180	-21728764.8957	-0.999080678383	2259
2	94	412547	269163	21748778	21748892	lin	90	-21722612.5861	-0.998799772183	2259
2	95	401320	266684	21748778	21748800	mcpc	1	-21722351.8902	-0.99878700475	2259
2	93	415049	289726	21748778	21748850	ortb	470	-21722942.282	-0.998812543403	2259
2	73	387318	271449	21748778	21748847	rand	350	-21728324.1998	-0.999067903042	2259
32	11	77931	36980	1359298	1359354	const	75	-1356239.34518	-0.997752763698	2259
32	15	93150	29203	1359298	1359432	lin	40	-1355062.56161	-0.996935438063	2259
32	5	43200	22018	1359298	1359391	mcpc	1	-1357767.52054	-0.99897842524	2259
32	14	78390	31336	1359298	1359343	ortb	200	-1355313.2575	-0.997139685374	2259
32	11	367898	66295	1359298	1359299	rand	60	-1356229.34518	-0.997752747166	2259
4	44	417197	224384	10874389	10009248	const	100	-9997029.38071	-0.998779267005	2259
4	58	411392	178386	10874389	10874424	lin	50	-10858244.6382	-0.998518866847	2259
4	44	211914	137186	10874389	10874406	mcpc	1	-10862134.3807	-0.998876381952	2259
4	61	417197	201103	10874389	10770955	ortb	230	-10754015.5505	-0.998427302921	2259
4	46	415627	202341	10874389	10874441	rand	190	-10861576.9889	-0.998825308189	2259
64	6	292451	48366	679649	679660	const	25	-677969.824643	-0.997548429811	2259
64	11	417197	40828	679649	579409	lin	10	-576354.345179	-0.994727981751	2259
64	4	30871	13743	679649	679773	mcpc	1	-678430.216429	-0.998365391387	2259
64	9	82266	22163	679649	679653	ortb	110	-677133.736964	-0.996322628484	2259
64	7	179748	32833	679649	679663	rand	60	-677665.12875	-0.997139721148	2259
8	27	320627	147572	5437194	5437203	const	75	-5429672.21089	-0.998621012566	2259
8	40	303025	107875	5437194	5437408	lin	40	-5426085.16429	-0.997957064295	2259
8	27	115180	70476	5437194	5437218	mcpc	1	-5429619.21089	-0.998620999124	2259
8	33	393399	137578	5437194	5437202	ortb	140	-5428013.03554	-0.998314573084	2259
8	27	417197	143045	5437194	5291647	rand	120	-5284149.21089	-0.998583089706	2259
1	513	614638	613723	45216454	44941954	const	300	-44897552.4933	-0.999012025452	1458
1	513	614638	368767	45216454	21801712	lin	650	-21757310.4933	-0.997963393576	1458
1	473	614638	38858	45216454	816763	mcpc	1	-775823.599075	-0.949876033898	1458
1	498	614638	244871	45216454	10267266	ortb	1340	-10224162.783	-0.995801879776	1458
1	407	614638	515430	45216454	33528205	rand	460	-33492978.0736	-0.998949334556	1458
16	51	227472	97784	2826028	2826032	const	55	-2821592.81512	-0.998438013466	1458
16	482	614638	89408	2826028	2804895	lin	130	-2763176.62527	-0.985126582376	1458
16	473	614638	38858	2826028	816763	mcpc	1	-775823.599075	-0.949876033898	1458
16	478	614638	108697	2826028	2819646	ortb	500	-2778273.83585	-0.985327177898	1458
16	50	199209	77751	2826028	2826041	rand	100	-2821697.36777	-0.998468650407	1458
2	309	606987	467249	22608227	22608278	const	85	-22581463.2328	-0.998817032858	1458
2	513	614638	368767	22608227	21801712	lin	650	-21757310.4933	-0.997963393576	1458
2	473	614638	38858	22608227	816763	mcpc	1	-775823.599075	-0.949876033898	1458
2	498	614638	244871	22608227	10267266	ortb	1340	-10224162.783	-0.995801879776	1458
2	305	614638	417841	22608227	22447972	rand	230	-22421573.4434	-0.998824011513	1458
32	27	509831	92416	1413014	1413017	const	25	-1410675.07859	-0.998346141855	1458
32	476	614638	51638	1413014	1223842	lin	85	-1182642.94114	-0.966336292709	1458
32	473	614638	38858	1413014	816763	mcpc	1	-775823.599075	-0.949876033898	1458
32	475	614638	69985	1413014	1409635	ortb	320	-1368522.49379	-0.970834644277	1458
32	28	75931	35921	1413014	1413015	rand	120	-1410521.52595	-0.998284806521	1458
4	170	361317	252296	11304113	11304129	const	80	-11289363.0504	-0.998698350198	1458
4	502	614638	223276	11304113	10757223	lin	310	-10713773.5724	-0.995960906675	1458
4	473	614638	38858	11304113	816763	mcpc	1	-775823.599075	-0.949876033898	1458
4	498	614638	244871	11304113	10267266	ortb	1340	-10224162.783	-0.995801879776	1458
4	165	487271	252884	11304113	11304168	rand	140	-11289821.8136	-0.998736636921	1458
64	16	472727	57030	706507	706508	const	20	-705106.157685	-0.998039830211	1458
64	471	614638	31908	706507	628971	lin	60	-588204.704364	-0.935185730923	1458
64	330	424901	32372	706507	706520	mcpc	1	-677936.627262	-0.959571955886	1458
64	470	614638	42528	706507	692361	ortb	200	-651681.257009	-0.941244895378	1458
64	14	614638	52079	706507	689611	rand	30	-688399.262975	-0.998242868769	1458
8	90	200787	132553	5652056	5652084	const	75	-5644254.26198	-0.998621783903	1458
8	492	614638	139049	5652056	5414283	lin	190	-5371699.09883	-0.992134895576	1458
8	473	614638	38858	5652056	816763	mcpc	1	-775823.599075	-0.949876033898	1458
8	488	614638	154721	5652056	4989105	ortb	740	-4946867.30941	-0.991534014499	1458
8	92	389224	152597	5652056	5652100	rand	100	-5644067.15669	-0.998591153389	1458
1	260	300928	300928	34159766	34159766	const	270	-34128952.168	-0.999097949558	3358
1	259	300928	187250	34159766	19586313	lin	600	-19555617.6827	-0.998432817994	3358
1	235	300928	40153	34159766	3053574	mcpc	1	-3025723.03643	-0.99087922429	3358
1	251	300928	135646	34159766	11723663	ortb	1370	-11693915.8006	-0.99746263609	3358
1	179	300928	230450	34159766	23002726	rand	490	-22981511.8618	-0.999077755471	3358
16	19	101202	43350	2134985	2135043	const	80	-2132727.21997	-0.998945291718	3358
16	229	300928	27572	2134985	1997122	lin	70	-1969982.12486	-0.986410507152	3358
16	144	186304	29182	2134985	2135015	mcpc	1	-2117915.87764	-0.992006432674	3358
16	224	300928	36074	2134985	2003688	ortb	290	-1977140.69856	-0.986750780838	3358
16	25	27089	20107	2134985	2135081	rand	480	-2132002.13154	-0.998612216844	3358
2	133	172347	160504	17079883	17079936	const	240	-17064102.5398	-0.999077132036	3358
2	257	300928	152459	17079883	15445036	lin	400	-15414577.7122	-0.998027956179	3358
2	235	300928	40153	17079883	3053574	mcpc	1	-3025723.03643	-0.99087922429	3358
2	251	300928	135646	17079883	11723663	ortb	1370	-11693915.8006	-0.99746263609	3358
2	139	219538	168048	17079883	17079887	rand	500	-17063353.4513	-0.999035496749	3358
32	11	267682	41226	1067492	1067493	const	50	-1066177.33788	-0.998778749107	3358
32	218	300928	11401	1067492	808026	lin	40	-782189.786988	-0.968025517729	3358
32	69	94565	16141	1067492	1067542	mcpc	1	-1059204.48304	-0.992338715696	3358
32	213	300928	19114	1067492	940151	ortb	170	-914907.360681	-0.973149377793	3358
32	11	286112	34837	1067492	1067529	rand	75	-1066161.33788	-0.998778730802	3358
4	66	86020	81057	8539941	8539944	const	240	-8531977.02725	-0.999084056575	3358
4	248	300928	91555	8539941	8435989	lin	200	-8406597.34483	-0.996515920638	3358
4	235	300928	40153	8539941	3053574	mcpc	1	-3025723.03643	-0.99087922429	3358
4	245	300928	105427	8539941	8314789	ortb	950	-8285752.88905	-0.996507895636	3358
4	69	195519	110351	8539941	8539979	rand	260	-8531724.48304	-0.999042434332	3358
64	7	300928	26752	533746	485734	const	25	-484904.39683	-0.998292062795	3358
64	210	300928	6172	533746	488406	lin	25	-463517.904897	-0.949042200335	3358
64	48	48936	7199	533746	533818	mcpc	1	-528055.292548	-0.989341880279	3358
64	209	300928	7442	533746	450039	ortb	80	-425269.419635	-0.944961258103	3358
64	7	58051	11700	533746	533797	rand	110	-532885.39683	-0.998445606419	3358
8	40	34598	34598	4269970	4270015	const	270	-4265216.41046	-0.998889780496	3358
8	239	300928	49346	4269970	3930631	lin	110	-3902305.97748	-0.992793772165	3358
8	235	300928	40153	4269970	3053574	mcpc	1	-3025723.03643	-0.99087922429	3358
8	234	300928	61761	4269970	4067159	ortb	500	-4039426.55117	-0.993181370871	3358
8	42	52481	38582	4269970	4270032	rand	480	-4264917.38098	-0.998834252594	3358
1	442	545421	544736	45715525	45510025	const	300	-45463383.607	-0.998975140247	3386
1	443	545421	535121	45715525	44315954	lin	750	-44269207.0835	-0.998945144756	3386
1	248	545421	187590	45715525	10506192	mcpc	1	-10480022.1687	-0.997509104027	3386
1	408	545421	468728	45715525	32939802	ortb	1340	-32896748.4065	-0.998692961375	3386
1	347	545421	451059	45715525	33281397	rand	490	-33244780.3408	-0.998899785992	3386
16	37	70805	54127	2857220	2857317	const	110	-2853315.63	-0.998633507396	3386
